Amazon Order ID,Odoo Order IDs,Odoo Order Names,Invoice Statuses,States,Amounts
305-5441953-3374718,203368; 203375,FBA305-5441953-3374718; FBA305-5441953-3374718,no; to invoice,cancel; sale,29.691; 30.19
404-4249374-4725910,203366; 203379,FBA404-4249374-4725910; FBA404-4249374-4725910,no; to invoice,cancel; sale,51.54; 51.97
305-7059980-7167513,203365; 203371,FBA305-7059980-7167513; FBA305-7059980-7167513,no; to invoice,cancel; sale,29.691; 30.19
171-7011105-5790754,203363; 203373,FBA171-7011105-5790754; FBA171-7011105-5790754,no; to invoice,cancel; sale,63.318; 62.799
402-4594907-7090723,203360; 203378,FBA402-4594907-7090723; FBA402-4594907-7090723,no; to invoice,cancel; sale,29.94; 30.19
171-0730141-7775519,203359; 203381,FBA171-0730141-7775519; FBA171-0730141-7775519,no; to invoice,cancel; sale,41.94; 42.29
402-6080861-3621918,203356; 203372,FBA402-6080861-3621918; FBA402-6080861-3621918,no; to invoice,cancel; sale,41.94; 42.29
305-6585905-1774741,202937; 202880,FBA305-6585905-1774741; FBA305-6585905-1774741,to invoice; invoiced,sale; sale,28.98; 30.19
303-9642954-3735529,202732; 202731,FBA303-9642954-3735529; FBA303-9642954-3735529,invoiced; to invoice,sale; sale,159.321; 26.378
306-8525194-9408330,200975; 200893,FBA306-8525194-9408330; FBA306-8525194-9408330,invoiced; to invoice,sale; sale,21.78; 22.93
302-5095086-4027529,199443; 199442,FBA302-5095086-4027529; FBA302-5095086-4027529,invoiced; to invoice,sale; sale,13.734; 11.435
306-9521905-0047533,199375; 199374,FBA306-9521905-0047533; FBA306-9521905-0047533,invoiced; to invoice,sale; sale,86.939; 28.98
408-2603266-8275526,198998; 198868,FBA408-2603266-8275526; FBA408-2603266-8275526,invoiced; to invoice,sale; sale,118.459; 59.23
171-6162320-1030714,197960; 197804,FBA171-6162320-1030714; FBA171-6162320-1030714,invoiced; to invoice,sale; sale,66.744; 133.464
171-1446702-0353908,196504; 196230,FBA171-1446702-0353908; FBA171-1446702-0353908,to invoice; to invoice,sale; sale,79.691; 159.357
