Odoo Order,Invoice Count,Invoice IDs,Invoice Names,States,Amounts,Dates,Action Needed
FBA028-6128201-8812330,2,359724; 359723,/; /,draft; draft,19.944; 19.944,2025-12-31; 2025-12-31,Delete draft duplicates
FBA304-0057313-9677174,2,359722; 359721,/; /,draft; draft,24.954; 24.954,2025-12-31; 2025-12-31,Delete draft duplicates
FBA305-9786722-7667531,2,359714; 359713,/; /,draft; draft,24.954; 24.954,2025-12-31; 2025-12-31,Delete draft duplicates
FBA303-2117367-6311545,2,359706; 359704,/; /,draft; draft,23.931; 23.931,2025-12-31; 2025-12-31,Delete draft duplicates
FBA303-4926727-3842750,2,359691; 359690,/; /,draft; draft,19.944; 19.944,2025-12-31; 2025-12-31,Delete draft duplicates
FBA303-4474276-0956317,2,359676; 359674,/; /,draft; draft,24.954; 24.954,2025-12-31; 2025-12-31,Delete draft duplicates
FBA305-7867290-1939525,2,359673; 359672,/; /,draft; draft,19.944; 19.944,2025-12-31; 2025-12-31,Delete draft duplicates
FBA303-8916410-8404356,2,359656; 359654,/; /,draft; draft,24.954; 24.954,2025-12-31; 2025-12-31,Delete draft duplicates
FBA028-8303125-3147511,2,359644; 359642,/; /,draft; draft,24.954; 24.954,2025-12-31; 2025-12-31,Delete draft duplicates
FBA028-6694912-3148307,2,359636; 359635,/; /,draft; draft,24.954; 24.954,2025-12-31; 2025-12-31,Delete draft duplicates
FBA305-4668816-7528307,2,359620; 359615,/; /,draft; draft,77.315; 77.315,2025-12-31; 2025-12-31,Delete draft duplicates
FBBA000A4UPXW,2,346785; 346266,VNL/2025/12/00207; VNL/2025/12/00038,posted; posted,17.95; 9.5,2025-12-02; 2025-12-02,Review
FBBA000C9HX56,2,346802; 344802,VNL/2025/11/02214; VNL/2025/11/02213,posted; posted,15.95; 17.95,2025-11-30; 2025-11-30,Review
rfZa9DUQpT,2,352079; 352077,VDE/2025/11/00966; VDE/2025/11/00919,posted; posted,1.68; 1.61,2025-10-30; 2025-11-01,Review
302-1966963-4757166,2,352098; 352126,VDE/2025/11/00948; VDE/2025/11/00947,posted; posted,20.861; 20.861,2025-07-26; 2025-07-26,Cancel duplicate posted invoice
S12920,2,346497; 335902,VBE/2025/11/00334; VBE/2025/10/00300,posted; posted,27.467; 10914.949,2025-10-27; 2025-10-27,Review
S11385,3,347172; 312359; 303730,VBE/2025/11/00333; VBE/2025/08/00836; VBE/2025/08/00159,posted; posted; posted,106.359; 177.023; 759.674,2025-08-14; 2025-08-14; 2025-08-14,Review
S12208,2,347171; 323098,VBE/2025/11/00332; VBE/2025/09/01027,posted; posted,54.874; 552.111,2025-09-23; 2025-09-23,Review
304-5506809-3657165,2,348077; 347658,VDE/2025/11/00899; VDE/2025/11/00696,posted; posted,33.201; 33.201,2025-11-29; 2025-11-24,Cancel duplicate posted invoice
403-1159654-5301967,3,349264; 349261; 349263,VFR/2025/11/01084; VFR/2025/11/01082; VFR/2025/11/01081,posted; posted; posted,18.36; 18.336; 18.348,2025-11-28; 2025-11-28; 2025-11-28,Review
304-9043712-5365155,2,348577; 348576,VDE/2025/11/00828; VDE/2025/11/00826,posted; posted,78.005; 77.993,2025-11-27; 2025-11-27,Review
302-1506994-9662738,2,348563; 348566,VDE/2025/11/00796; VDE/2025/11/00791,posted; posted,160.805; 64.308,2025-11-26; 2025-11-26,Review
402-8237104-5768306,3,351569; 351566; 351565,VBE/2025/11/00468; VBE/2025/11/00467; VBE/2025/11/00466,posted; posted; posted,23.29; 44.92; 22.46,2025-11-26; 2025-11-26; 2025-11-26,Review
171-0186108-5161100,2,347504; 347502,VIT/2025/02815; VIT/2025/02814,posted; posted,20.716; 24.644,2025-11-25; 2025-11-25,Review
171-9467235-9623519,2,348716; 348713,VFR/2025/11/00934; VFR/2025/11/00933,posted; posted,24.948; 23.544,2025-11-25; 2025-11-25,Review
306-4803721-7416322,2,348226; 348227,VDE/2025/11/00763; VDE/2025/11/00762,posted; posted,96.069; 96.069,2025-11-25; 2025-11-25,Cancel duplicate posted invoice
404-5926007-7500340,2,347576; 347580,VIT/2025/02784; VIT/2025/02783,posted; posted,23.949; 22.948,2025-11-24; 2025-11-24,Review
306-2901460-1244347,2,348035; 348033,VDE/2025/11/00639; VDE/2025/11/00638,posted; posted,32.249; 33.951,2025-11-21; 2025-11-21,Review
FBBA000AUM1U2,2,344491; 343525,VNL/2025/11/01474; VNL/2025/11/01449,posted; posted,67.9; 15.95,2025-11-20; 2025-11-20,Review
FBBA000AU627R,2,344508; 343586,VNL/2025/11/01473; VNL/2025/11/01420,posted; posted,13.5; 33,2025-11-20; 2025-11-20,Review
S13440,2,346496; 343894,VBE/2025/11/00331; VBE/2025/11/00218,posted; posted,164.802; 2085.187,2025-11-19; 2025-11-19,Review
306-7908647-2532360,2,348008; 348007,VDE/2025/11/00548; VDE/2025/11/00547,posted; posted,50.551; 101.114,2025-11-18; 2025-11-18,Review
402-0126497-8068334,2,349078; 349076,VFR/2025/11/00716; VFR/2025/11/00715,posted; posted,160.74; 26.79,2025-11-17; 2025-11-17,Review
304-0827316-8177143,2,348230; 348229,VDE/2025/11/00492; VDE/2025/11/00491,posted; posted,66.462; 66.438,2025-11-16; 2025-11-16,Review
306-9179821-1405148,2,347788; 347789,VDE/2025/11/00436; VDE/2025/11/00434,posted; posted,64.355; 128.687,2025-11-13; 2025-11-13,Review
306-6711543-2627511,2,347775; 347774,VDE/2025/11/00404; VDE/2025/11/00403,posted; posted,23.705; 22.753,2025-11-13; 2025-11-13,Review
302-7019506-3049937,2,347823; 347819,VDE/2025/11/00392; VDE/2025/11/00391,posted; posted,42.697; 42.697,2025-11-12; 2025-11-12,Cancel duplicate posted invoice
306-1677190-2865118,2,347903; 347904,VDE/2025/11/00362; VDE/2025/11/00357,posted; posted,61.69; 61.713,2025-11-12; 2025-11-12,Review
S13216,2,351051; 339121,VBE/2025/11/00382; VBE/2025/11/00127,posted; posted,178.705; 1233.945,2025-11-12; 2025-11-12,Review
028-8155643-7790746,3,347693; 347695; 347690,VDE/2025/11/00341; VDE/2025/11/00339; VDE/2025/11/00325,posted; posted; posted,9.151; 9.151; 9.151,2025-11-11; 2025-11-11; 2025-11-11,Cancel duplicate posted invoice
FBBA000AF76T9,2,339118; 338182,VNL/2025/11/00610; VNL/2025/11/00609,posted; posted,17.95; 54.95,2025-11-10; 2025-11-10,Review
